function                     mask  match   000  010  020
op_1010                , 0xf000,  0xa000, {  4,   4,   4}},
op_bset_08_r_ix        , MASK_XY, 0x01f0, { 18,  18,  11}},
op_bset_08_r_pd        , MASK_XY, 0x01e0, { 14,  14,   9}},
op_bset_08_r_pi        , MASK_XY, 0x01d8, { 12,  12,   8}},
op_bset_08_s_ai        , MASK__Y, 0x08d0, { 16,  16,   8}},
op_bset_08_s_al        , MASKALL, 0x08f9, { 24,  24,   8}},
op_bset_08_s_aw        , MASKALL, 0x08f8, { 20,  20,   8}},
op_bset_08_s_di        , MASK__Y, 0x08e8, { 20,  20,   9}},
op_bset_08_s_ix        , MASK__Y, 0x08f0, { 22,  22,  11}},
op_bset_08_s_pd        , MASK__Y, 0x08e0, { 18,  18,   9}},
op_bset_08_s_pi        , MASK__Y, 0x08d8, { 16,  16,   8}},
op_bset_32_r_dn        , MASK_XY, 0x01c0, {  8,   8,   4}},
op_bset_32_s_dn        , MASK__Y, 0x08c0, { 12,  12,   4}},
op_bsr_08              , MASK_LO,0x6100, { 18,  18,   7}},
op_bsr_16              , MASKALL, 0x6100, { 18,  18,   7}},
op_bsr_32              , MASKALL, 0x61ff, {  0,   0,   7}},
op_btst_08_r_ai        , MASK_XY, 0x0110, {  8,   8,   8}},
op_btst_08_r_al        , MASK_X_, 0x0139, { 16,  16,   8}},
op_btst_08_r_aw        , MASK_X_, 0x0138, { 12,  12,   8}},
op_btst_08_r_di        , MASK_XY, 0x0128, { 12,  12,   9}},
op_btst_08_r_imm       , MASK_X_, 0x013c, {  8,   8,   6}},
op_btst_08_r_ix        , MASK_XY, 0x0130, { 14,  14,  11}},
op_btst_08_r_pcdi      , MASK_X_, 0x013a, { 12,  12,   9}},
op_btst_08_r_pcix      , MASK_X_, 0x013b, { 14,  14,  11}},
op_btst_08_r_pd        , MASK_XY, 0x0120, { 10,  10,   9}},
op_btst_08_r_pi        , MASK_XY, 0x0118, {  8,   8,   8}},
op_btst_08_s_ai        , MASK__Y, 0x0810, { 12,  12,   8}},
op_btst_08_s_al        , MASKALL, 0x0839, { 20,  20,   8}},
op_btst_08_s_aw        , MASKALL, 0x0838, { 16,  16,   8}},
op_btst_08_s_di        , MASK__Y, 0x0828, { 16,  16,   9}},
op_btst_08_s_ix        , MASK__Y, 0x0830, { 18,  18,  11}},
op_btst_08_s_pcdi      , MASKALL, 0x083a, { 16,  16,   9}},
op_btst_08_s_pcix      , MASKALL, 0x083b, { 18,  18,  11}},
op_btst_08_s_pd        , MASK__Y, 0x0820, { 14,  14,   9}},
op_btst_08_s_pi        , MASK__Y, 0x0818, { 12,  12,   8}},
op_btst_32_r_dn        , MASK_XY, 0x0100, {  6,   6,   4}},
op_btst_32_s_dn        , MASK__Y, 0x0800, { 10,  10,   4}},
op_bvc_08              , MASK_LO, 0x6800, {  8,   8,   6}},
op_bvc_16              , MASKALL, 0x6800, { 10,  10,   6}},
op_bvc_32              , MASKALL, 0x68ff, {  0,   0,   6}},
op_bvs_08              , MASK_LO, 0x6900, {  8,   8,   6}},
op_bvs_16              , MASKALL, 0x6900, { 10,  10,   6}},
op_bvs_32              , MASKALL, 0x69ff, {  0,   0,   6}},
op_callm_32_ai         , MASK__Y, 0x06d0, {  0,   0,  64}},
op_callm_32_al         , MASKALL, 0x06f9, {  0,   0,  64}},
op_callm_32_aw         , MASKALL, 0x06f8, {  0,   0,  64}},
op_callm_32_di         , MASK__Y, 0x06e8, {  0,   0,  65}},
op_callm_32_ix         , MASK__Y, 0x06f0, {  0,   0,  67}},
op_callm_32_pcdi       , MASKALL, 0x06fa, {  0,   0,  65}},
op_callm_32_pcix       , MASKALL, 0x06fb, {  0,   0,  67}},
op_cas2_16             , MASKALL, 0x0cfc, {  0,   0,  12}},
op_cas2_32             , MASKALL, 0x0efc, {  0,   0,  12}},
op_cas_08_ai           , MASK__Y, 0x0ad0, {  0,   0,  16}},
op_cas_08_al           , MASKALL, 0x0af9, {  0,   0,  16}},
op_cas_08_aw           , MASKALL, 0x0af8, {  0,   0,  16}},
op_cas_08_di           , MASK__Y, 0x0ae8, {  0,   0,  17}},
op_cas_08_ix           , MASK__Y, 0x0af0, {  0,   0,  19}},
op_cas_08_pd           , MASK__Y, 0x0ae0, {  0,   0,  17}},
op_cas_08_pi           , MASK__Y, 0x0ad8, {  0,   0,  16}},
op_cas_16_ai           , MASK__Y, 0x0cd0, {  0,   0,  16}},
op_cas_16_al           , MASKALL, 0x0cf9, {  0,   0,  16}},
op_cas_16_aw           , MASKALL, 0x0cf8, {  0,   0,  16}},
op_cas_16_di           , MASK__Y, 0x0ce8, {  0,   0,  17}},
op_cas_16_ix           , MASK__Y, 0x0cf0, {  0,   0,  19}},
op_cas_16_pd           , MASK__Y, 0x0ce0, {  0,   0,  17}},
op_cas_16_pi           , MASK__Y, 0x0cd8, {  0,   0,  16}},
op_cas_32_ai           , MASK__Y, 0x0ed0, {  0,   0,  16}},
op_cas_32_al           , MASKALL, 0x0ef9, {  0,   0,  16}},
op_cas_32_aw           , MASKALL, 0x0ef8, {  0,   0,  16}},
op_cas_32_di           , MASK__Y, 0x0ee8, {  0,   0,  17}},
op_cas_32_ix           , MASK__Y, 0x0ef0, {  0,   0,  19}},
op_cas_32_pd           , MASK__Y, 0x0ee0, {  0,   0,  17}},
op_cas_32_pi           , MASK__Y, 0x0ed8, {  0,   0,  16}},
op_chk2cmp2_08_ai      , MASK__Y, 0x00d0, {  0,   0,  22}},
op_chk2cmp2_08_al      , MASKALL, 0x00f9, {  0,   0,  22}},
op_chk2cmp2_08_aw      , MASKALL, 0x00f8, {  0,   0,  22}},
op_chk2cmp2_08_di      , MASK__Y, 0x00e8, {  0,   0,  23}},
op_chk2cmp2_08_ix      , MASK__Y, 0x00f0, {  0,   0,  25}},
op_chk2cmp2_08_pcdi    , MASKALL, 0x00fa, {  0,   0,  23}},
op_chk2cmp2_08_pcix    , MASKALL, 0x00fb, {  0,   0,  23}},
op_chk2cmp2_16_ai      , MASK__Y, 0x02d0, {  0,   0,  22}},
op_chk2cmp2_16_al      , MASKALL, 0x02f9, {  0,   0,  22}},
op_chk2cmp2_16_aw      , MASKALL, 0x02f8, {  0,   0,  22}},
op_chk2cmp2_16_di      , MASK__Y, 0x02e8, {  0,   0,  23}},
op_chk2cmp2_16_ix      , MASK__Y, 0x02f0, {  0,   0,  25}},
op_chk2cmp2_16_pcdi    , MASKALL, 0x02fa, {  0,   0,  23}},
op_chk2cmp2_16_pcix    , MASKALL, 0x02fb, {  0,   0,  23}},
op_chk2cmp2_32_ai      , MASK__Y, 0x04d0, {  0,   0,  22}},
op_chk2cmp2_32_al      , MASKALL, 0x04f9, {  0,   0,  22}},
op_chk2cmp2_32_aw      , MASKALL, 0x04f8, {  0,   0,  22}},
op_chk2cmp2_32_di      , MASK__Y, 0x04e8, {  0,   0,  23}},
op_chk2cmp2_32_ix      , MASK__Y, 0x04f0, {  0,   0,  25}},
op_chk2cmp2_32_pcdi    , MASKALL, 0x04fa, {  0,   0,  23}},
op_chk2cmp2_32_pcix    , MASKALL, 0x04fb, {  0,   0,  23}},
op_chk_16_ai           , MASK_XY, 0x4190, { 14,  12,  12}},
op_chk_16_al           , MASK_X_, 0x41b9, { 22,  20,  12}},
op_chk_16_aw           , MASK_X_, 0x41b8, { 18,  16,  12}},
op_chk_16_dn           , MASK_XY, 0x4180, { 10,   8,   8}},
op_chk_16_di           , MASK_XY, 0x41a8, { 18,  16,  13}},
op_chk_16_imm          , MASK_X_, 0x41bc, { 14,  12,  10}},
op_chk_16_ix           , MASK_XY, 0x41b0, { 20,  18,  15}},
op_chk_16_pcdi         , MASK_X_, 0x41ba, { 18,  16,  13}},
op_chk_16_pcix         , MASK_X_, 0x41bb, { 20,  18,  15}},
op_chk_16_pd           , MASK_XY, 0x41a0, { 16,  14,  13}},
op_chk_16_pi           , MASK_XY, 0x4198, { 14,  12,  12}},
op_chk_32_ai           , MASK_XY, 0x4110, {  0,   0,  12}},
op_chk_32_al           , MASK_X_, 0x4139, {  0,   0,  12}},
op_chk_32_aw           , MASK_X_, 0x4138, {  0,   0,  12}},
op_chk_32_dn           , MASK_XY, 0x4100, {  0,   0,   8}},
op_chk_32_di           , MASK_XY, 0x4128, {  0,   0,  13}},
op_chk_32_imm          , MASK_X_, 0x413c, {  0,   0,  12}},
op_chk_32_ix           , MASK_XY, 0x4130, {  0,   0,  15}},
op_chk_32_pcdi         , MASK_X_, 0x413a, {  0,   0,  13}},
op_chk_32_pcix         , MASK_X_, 0x413b, {  0,   0,  15}},
op_chk_32_pd           , MASK_XY, 0x4120, {  0,   0,  13}},
op_chk_32_pi           , MASK_XY, 0x4118, {  0,   0,  12}},
op_clr_08_ai           , MASK__Y, 0x4210, { 12,   8,   8}},
op_clr_08_al           , MASKALL, 0x4239, { 20,  14,   8}},
op_clr_08_aw           , MASKALL, 0x4238, { 16,  12,   8}},
op_clr_08_dn           , MASK__Y, 0x4200, {  4,   4,   2}},
op_clr_08_di           , MASK__Y, 0x4228, { 16,  12,   9}},
op_clr_08_ix           , MASK__Y, 0x4230, { 18,  14,  11}},
op_clr_08_pd           , MASK__Y, 0x4220, { 14,  10,   9}},
op_clr_08_pi           , MASK__Y, 0x4218, { 12,   8,   8}},
op_clr_16_ai           , MASK__Y, 0x4250, { 12,   8,   8}},
op_clr_16_al           , MASKALL, 0x4279, { 20,  14,   8}},
op_clr_16_aw           , MASKALL, 0x4278, { 16,  12,   8}},
op_clr_16_dn           , MASK__Y, 0x4240, {  4,   4,   2}},
op_clr_16_di           , MASK__Y, 0x4268, { 16,  12,   9}},
op_clr_16_ix           , MASK__Y, 0x4270, { 18,  14,  11}},
op_clr_16_pd           , MASK__Y, 0x4260, { 14,  10,   9}},
op_clr_16_pi           , MASK__Y, 0x4258, { 12,   8,   8}},
op_clr_32_ai           , MASK__Y, 0x4290, { 20,  12,   8}},
op_clr_32_al           , MASKALL, 0x42b9, { 28,  20,   8}},
op_clr_32_aw           , MASKALL, 0x42b8, { 24,  16,   8}},
op_clr_32_dn           , MASK__Y, 0x4280, {  6,   6,   2}},
op_clr_32_di           , MASK__Y, 0x42a8, { 24,  16,   9}},
op_clr_32_ix           , MASK__Y, 0x42b0, { 26,  20,  11}},
op_clr_32_pd           , MASK__Y, 0x42a0, { 22,  14,   9}},
op_clr_32_pi           , MASK__Y, 0x4298, { 20,  12,   8}},
op_cmp_08_ai           , MASK_XY, 0xb010, {  8,   8,   6}},
op_cmp_08_al           , MASK_X_, 0xb039, { 16,  16,   6}},
op_cmp_08_aw           , MASK_X_, 0xb038, { 12,  12,   6}},
op_cmp_08_dn           , MASK_XY, 0xb000, {  4,   4,   2}},
op_cmp_08_di           , MASK_XY, 0xb028, { 12,  12,   7}},
op_cmp_08_imm          , MASK_X_, 0xb03c, {  8,   8,   4}},
op_cmp_08_ix           , MASK_XY, 0xb030, { 14,  14,   9}},
op_cmp_08_pcdi         , MASK_X_, 0xb03a, { 12,  12,   7}},
op_cmp_08_pcix         , MASK_X_, 0xb03b, { 14,  14,   9}},
op_cmp_08_pd           , MASK_XY, 0xb020, { 10,  10,   7}},
op_cmp_08_pi           , MASK_XY, 0xb018, {  8,   8,   6}},
op_cmp_16_an           , MASK_XY, 0xb048, {  4,   4,   2}},
op_cmp_16_ai           , MASK_XY, 0xb050, {  8,   8,   6}},
op_cmp_16_al           , MASK_X_, 0xb079, { 16,  16,   6}},
op_cmp_16_aw           , MASK_X_, 0xb078, { 12,  12,   6}},
op_cmp_16_dn           , MASK_XY, 0xb040, {  4,   4,   2}},
op_cmp_16_di           , MASK_XY, 0xb068, { 12,  12,   7}},
op_cmp_16_imm          , MASK_X_, 0xb07c, {  8,   8,   4}},
op_cmp_16_ix           , MASK_XY, 0xb070, { 14,  14,   9}},
op_cmp_16_pcdi         , MASK_X_, 0xb07a, { 12,  12,   7}},
op_cmp_16_pcix         , MASK_X_, 0xb07b, { 14,  14,   9}},
op_cmp_16_pd           , MASK_XY, 0xb060, { 10,  10,   7}},
op_cmp_16_pi           , MASK_XY, 0xb058, {  8,   8,   6}},
op_cmp_32_an           , MASK_XY, 0xb088, {  6,   6,   2}},
op_cmp_32_ai           , MASK_XY, 0xb090, { 14,  14,   6}},
op_cmp_32_al           , MASK_X_, 0xb0b9, { 22,  22,   6}},
op_cmp_32_aw           , MASK_X_, 0xb0b8, { 18,  18,   6}},
op_cmp_32_dn           , MASK_XY, 0xb080, {  6,   6,   2}},
op_cmp_32_di           , MASK_XY, 0xb0a8, { 18,  18,   7}},
op_cmp_32_imm          , MASK_X_, 0xb0bc, { 14,  14,   6}},
op_cmp_32_ix           , MASK_XY, 0xb0b0, { 20,  20,   9}},
op_cmp_32_pcdi         , MASK_X_, 0xb0ba, { 18,  18,   7}},
op_cmp_32_pcix         , MASK_X_, 0xb0bb, { 20,  20,   9}},
op_cmp_32_pd           , MASK_XY, 0xb0a0, { 16,  16,   7}},
op_cmp_32_pi           , MASK_XY, 0xb098, { 14,  14,   6}},
op_cmpa_16_an          , MASK_XY, 0xb0c8, {  6,   6,   4}},
op_cmpa_16_ai          , MASK_XY, 0xb0d0, { 10,  10,   8}},
op_cmpa_16_al          , MASK_X_, 0xb0f9, { 18,  18,   8}},
op_cmpa_16_aw          , MASK_X_, 0xb0f8, { 14,  14,   8}},
op_cmpa_16_dn          , MASK_XY, 0xb0c0, {  6,   6,   4}},
op_cmpa_16_di          , MASK_XY, 0xb0e8, { 14,  14,   9}},
op_cmpa_16_imm         , MASK_X_, 0xb0fc, { 10,  10,   6}},
op_cmpa_16_ix          , MASK_XY, 0xb0f0, { 16,  16,  11}},
op_cmpa_16_pcdi        , MASK_X_, 0xb0fa, { 14,  14,   9}},
op_cmpa_16_pcix        , MASK_X_, 0xb0fb, { 16,  16,  11}},
op_cmpa_16_pd          , MASK_XY, 0xb0e0, { 12,  12,   9}},
op_cmpa_16_pi          , MASK_XY, 0xb0d8, { 10,  10,   8}},
op_cmpa_32_an          , MASK_XY, 0xb1c8, {  6,   6,   4}},
op_cmpa_32_ai          , MASK_XY, 0xb1d0, { 14,  14,   8}},
op_cmpa_32_al          , MASK_X_, 0xb1f9, { 22,  22,   8}},
op_cmpa_32_aw          , MASK_X_, 0xb1f8, { 18,  18,   8}},
op_cmpa_32_dn          , MASK_XY, 0xb1c0, {  6,   6,   4}},
op_cmpa_32_di          , MASK_XY, 0xb1e8, { 18,  18,   9}},
op_cmpa_32_imm         , MASK_X_, 0xb1fc, { 14,  14,   8}},
op_cmpa_32_ix          , MASK_XY, 0xb1f0, { 20,  20,  11}},
op_cmpa_32_pcdi        , MASK_X_, 0xb1fa, { 18,  18,   9}},
op_cmpa_32_pcix        , MASK_X_, 0xb1fb, { 20,  20,  11}},
op_cmpa_32_pd          , MASK_XY, 0xb1e0, { 16,  16,   9}},
op_cmpa_32_pi          , MASK_XY, 0xb1d8, { 14,  14,   8}},
op_cmpi_08_ai          , MASK__Y, 0x0c10, { 12,  12,   6}},
op_cmpi_08_al          , MASKALL, 0x0c39, { 20,  20,   6}},
op_cmpi_08_aw          , MASKALL, 0x0c38, { 16,  16,   6}},
op_cmpi_08_dn          , MASK__Y, 0x0c00, {  8,   8,   2}},
op_cmpi_08_di          , MASK__Y, 0x0c28, { 16,  16,   7}},
op_cmpi_08_ix          , MASK__Y, 0x0c30, { 18,  18,   9}},
op_cmpi_08_pcdi        , MASKALL, 0x0c3a, {  0,   0,   7}},
op_cmpi_08_pcix        , MASKALL, 0x0c3b, {  0,   0,   9}},
op_cmpi_08_pd          , MASK__Y, 0x0c20, { 14,  14,   7}},
op_cmpi_08_pi          , MASK__Y, 0x0c18, { 12,  12,   6}},
op_cmpi_16_ai          , MASK__Y, 0x0c50, { 12,  12,   6}},
op_cmpi_16_al          , MASKALL, 0x0c79, { 20,  20,   6}},
op_cmpi_16_aw          , MASKALL, 0x0c78, { 16,  16,   6}},
op_cmpi_16_dn          , MASK__Y, 0x0c40, {  8,   8,   2}},
op_cmpi_16_di          , MASK__Y, 0x0c68, { 16,  16,   7}},
op_cmpi_16_ix          , MASK__Y, 0x0c70, { 18,  18,   9}},
op_cmpi_16_pcdi        , MASKALL, 0x0c7a, {  0,   0,   7}},
op_cmpi_16_pcix        , MASKALL, 0x0c7b, {  0,   0,   9}},
op_cmpi_16_pd          , MASK__Y, 0x0c60, { 14,  14,   7}},
op_cmpi_16_pi          , MASK__Y, 0x0c58, { 12,  12,   6}},
op_cmpi_32_ai          , MASK__Y, 0x0c90, { 20,  20,   6}},
op_cmpi_32_al          , MASKALL, 0x0cb9, { 28,  28,   6}},
op_cmpi_32_aw          , MASKALL, 0x0cb8, { 24,  24,   6}},
op_cmpi_32_dn          , MASK__Y, 0x0c80, { 14,  12,   2}},
op_cmpi_32_di          , MASK__Y, 0x0ca8, { 24,  24,   7}},
op_cmpi_32_ix          , MASK__Y, 0x0cb0, { 26,  26,   9}},
op_cmpi_32_pcdi        , MASKALL, 0x0cba, {  0,   0,   7}},
op_cmpi_32_pcix        , MASKALL, 0x0cbb, {  0,   0,   9}},
op_cmpi_32_pd          , MASK__Y, 0x0ca0, { 22,  22,   7}},
op_cmpi_32_pi          , MASK__Y, 0x0c98, { 20,  20,   6}},
op_cmpm_08             , MASK_XY, 0xb108, { 12,  12,   9}},
op_cmpm_16             , MASK_XY, 0xb148, { 12,  12,   9}},
op_cmpm_32             , MASK_XY, 0xb188, { 20,  20,   9}},
op_cpbcc_32            , 0xf180,  0xf080, {  0,   0,   4}},
op_cpdbcc_32           , MASK_XY, 0xf048, {  0,   0,   4}},
op_cpgen_32            , 0xf1c0,  0xf000, {  0,   0,   4}},
op_cpscc_32            , 0xf1c0,  0xf040, {  0,   0,   4}},
op_cptrapcc_32         , MASK_XY, 0xf078, {  0,   0,   4}},
op_dbcc_16             , MASK__Y, 0x54c8, { 12,  12,   6}},
op_dbcs_16             , MASK__Y, 0x55c8, { 12,  12,   6}},
op_dbeq_16             , MASK__Y, 0x57c8, { 12,  12,   6}},
op_dbf_16              , MASK__Y, 0x51c8, { 14,  14,   6}},
op_dbge_16             , MASK__Y, 0x5cc8, { 12,  12,   6}},
op_dbgt_16             , MASK__Y, 0x5ec8, { 12,  12,   6}},
op_dbhi_16             , MASK__Y, 0x52c8, { 12,  12,   6}},
op_dble_16             , MASK__Y, 0x5fc8, { 12,  12,   6}},
op_dbls_16             , MASK__Y, 0x53c8, { 12,  12,   6}},
op_dblt_16             , MASK__Y, 0x5dc8, { 12,  12,   6}},
op_dbmi_16             , MASK__Y, 0x5bc8, { 12,  12,   6}},
op_dbne_16             , MASK__Y, 0x56c8, { 12,  12,   6}},
op_dbpl_16             , MASK__Y, 0x5ac8, { 12,  12,   6}},
op_dbt_16              , MASK__Y, 0x50c8, { 12,  12,   6}},
op_dbvc_16             , MASK__Y, 0x58c8, { 12,  12,   6}},
op_dbvs_16             , MASK__Y, 0x59c8, { 12,  12,   6}},
op_divl_32_ai          , MASK__Y, 0x4c50, {  0,   0,  88}},
op_divl_32_al          , MASKALL, 0x4c79, {  0,   0,  88}},
op_divl_32_aw          , MASKALL, 0x4c78, {  0,   0,  88}},
op_divl_32_dn          , MASK__Y, 0x4c40, {  0,   0,  84}},
op_divl_32_di          , MASK__Y, 0x4c68, {  0,   0,  89}},
op_divl_32_imm         , MASKALL, 0x4c7c, {  0,   0,  88}},
op_divl_32_ix          , MASK__Y, 0x4c70, {  0,   0,  91}},
op_divl_32_pcdi        , MASKALL, 0x4c7a, {  0,   0,  89}},
op_divl_32_pcix        , MASKALL, 0x4c7b, {  0,   0,  91}},
op_divl_32_pd          , MASK__Y, 0x4c60, {  0,   0,  89}},
op_divl_32_pi          , MASK__Y, 0x4c58, {  0,   0,  88}},
op_divs_16_ai          , MASK_XY, 0x81d0, {162, 126,  60}},
op_divs_16_al          , MASK_X_, 0x81f9, {170, 134,  60}},
op_divs_16_aw          , MASK_X_, 0x81f8, {166, 130,  60}},
op_divs_16_dn          , MASK_XY, 0x81c0, {158, 122,  56}},
op_divs_16_di          , MASK_XY, 0x81e8, {166, 130,  61}},
op_divs_16_imm         , MASK_X_, 0x81fc, {162, 126,  58}},
op_divs_16_ix          , MASK_XY, 0x81f0, {168, 132,  63}},
op_divs_16_pcdi        , MASK_X_, 0x81fa, {166, 130,  61}},
op_divs_16_pcix        , MASK_X_, 0x81fb, {168, 132,  63}},
op_divs_16_pd          , MASK_XY, 0x81e0, {164, 128,  61}},
op_divs_16_pi          , MASK_XY, 0x81d8, {162, 126,  60}},
op_divu_16_ai          , MASK_XY, 0x80d0, {144, 112,  48}},
op_divu_16_al          , MASK_X_, 0x80f9, {152, 120,  48}},
op_divu_16_aw          , MASK_X_, 0x80f8, {148, 116,  48}},
op_divu_16_dn          , MASK_XY, 0x80c0, {140, 108,  44}},
op_divu_16_di          , MASK_XY, 0x80e8, {148, 116,  49}},
op_divu_16_imm         , MASK_X_, 0x80fc, {144, 112,  46}},
op_divu_16_ix          , MASK_XY, 0x80f0, {150, 118,  51}},
op_divu_16_pcdi        , MASK_X_, 0x80fa, {148, 116,  49}},
op_divu_16_pcix        , MASK_X_, 0x80fb, {150, 118,  51}},
op_divu_16_pd          , MASK_XY, 0x80e0, {146, 114,  49}},
op_divu_16_pi          , MASK_XY, 0x80d8, {144, 112,  48}},
op_eor_08_ai           , MASK_XY, 0xb110, { 12,  12,   8}},
op_eor_08_al           , MASK_X_, 0xb139, { 20,  20,   8}},
op_eor_08_aw           , MASK_X_, 0xb138, { 16,  16,   8}},
op_eor_08_dn           , MASK_XY, 0xb100, {  4,   4,   2}},
op_eor_08_di           , MASK_XY, 0xb128, { 16,  16,   9}},
op_eor_08_ix           , MASK_XY, 0xb130, { 18,  18,  11}},
op_eor_08_pd           , MASK_XY, 0xb120, { 14,  14,   9}},
op_eor_08_pi           , MASK_XY, 0xb118, { 12,  12,   8}},
op_eor_16_ai           , MASK_XY, 0xb150, { 12,  12,   8}},
op_eor_16_al           , MASK_X_, 0xb179, { 20,  20,   8}},
op_eor_16_aw           , MASK_X_, 0xb178, { 16,  16,   8}},
op_eor_16_dn           , MASK_XY, 0xb140, {  4,   4,   2}},
op_eor_16_di           , MASK_XY, 0xb168, { 16,  16,   9}},
op_eor_16_ix           , MASK_XY, 0xb170, { 18,  18,  11}},
op_eor_16_pd           , MASK_XY, 0xb160, { 14,  14,   9}},
op_eor_16_pi           , MASK_XY, 0xb158, { 12,  12,   8}},
op_eor_32_ai           , MASK_XY, 0xb190, { 20,  20,   8}},
op_eor_32_al           , MASK_X_, 0xb1b9, { 28,  28,   8}},
op_eor_32_aw           , MASK_X_, 0xb1b8, { 24,  24,   8}},
op_eor_32_dn           , MASK_XY, 0xb180, {  8,   6,   2}},
op_eor_32_di           , MASK_XY, 0xb1a8, { 24,  24,   9}},
op_eor_32_ix           , MASK_XY, 0xb1b0, { 26,  26,  11}},
op_eor_32_pd           , MASK_XY, 0xb1a0, { 22,  22,   9}},
op_eor_32_pi           , MASK_XY, 0xb198, { 20,  20,   8}},
op_eori_08_ai          , MASK__Y, 0x0a10, { 16,  16,   8}},
op_eori_08_al          , MASKALL, 0x0a39, { 24,  24,   8}},
op_eori_08_aw          , MASKALL, 0x0a38, { 20,  20,   8}},
op_eori_08_dn          , MASK__Y, 0x0a00, {  8,   8,   2}},
op_eori_08_di          , MASK__Y, 0x0a28, { 20,  20,   9}},
op_eori_08_ix          , MASK__Y, 0x0a30, { 22,  22,  11}},
op_eori_08_pd          , MASK__Y, 0x0a20, { 18,  18,   9}},
op_eori_08_pi          , MASK__Y, 0x0a18, { 16,  16,   8}},
op_eori_16_ai          , MASK__Y, 0x0a50, { 16,  16,   8}},
op_eori_16_al          , MASKALL, 0x0a79, { 24,  24,   8}},
op_eori_16_aw          , MASKALL, 0x0a78, { 20,  20,   8}},
op_eori_16_dn          , MASK__Y, 0x0a40, {  8,   8,   2}},
op_eori_16_di          , MASK__Y, 0x0a68, { 20,  20,   9}},
op_eori_16_ix          , MASK__Y, 0x0a70, { 22,  22,  11}},
op_eori_16_pd          , MASK__Y, 0x0a60, { 18,  18,   9}},
op_eori_16_pi          , MASK__Y, 0x0a58, { 16,  16,   8}},
op_eori_16_toc         , MASKALL, 0x0a3c, { 20,  16,  12}},
op_eori_16_tos         , MASKALL, 0x0a7c, { 20,  16,  12}},
op_eori_32_ai          , MASK__Y, 0x0a90, { 28,  28,   8}},
op_eori_32_al          , MASKALL, 0x0ab9, { 36,  36,   8}},
op_eori_32_aw          , MASKALL, 0x0ab8, { 32,  32,   8}},
op_eori_32_dn          , MASK__Y, 0x0a80, { 16,  14,   2}},
op_eori_32_di          , MASK__Y, 0x0aa8, { 32,  32,   9}},
op_eori_32_ix          , MASK__Y, 0x0ab0, { 34,  34,  11}},
op_eori_32_pd          , MASK__Y, 0x0aa0, { 30,  30,   9}},
op_eori_32_pi          , MASK__Y, 0x0a98, { 28,  28,   8}},
op_exg_32_aa           , MASK_XY, 0xc148, {  6,   6,   2}},
op_exg_32_da           , MASK_XY, 0xc188, {  6,   6,   2}},
op_exg_32_dd           , MASK_XY, 0xc140, {  6,   6,   2}},
op_ext_16              , MASK__Y, 0x4880, {  4,   4,   4}},
op_ext_32              , MASK__Y, 0x48c0, {  4,   4,   4}},
op_extb_32             , MASK__Y, 0x49c0, {  0,   0,   4}},
op_illegal             , MASKALL, 0x4afc, {  4,   4,   4}},
op_jmp_32_ai           , MASK__Y, 0x4ed0, {  8,   8,   4}},
op_jmp_32_al           , MASKALL, 0x4ef9, { 12,  12,   4}},
op_jmp_32_aw           , MASKALL, 0x4ef8, { 10,  10,   4}},
op_jmp_32_di           , MASK__Y, 0x4ee8, { 10,  10,   5}},
op_jmp_32_ix           , MASK__Y, 0x4ef0, { 12,  12,   7}}, should be 14
op_jmp_32_pcdi         , MASKALL, 0x4efa, { 10,  10,   5}},
op_jmp_32_pcix         , MASKALL, 0x4efb, { 14,  14,   7}},
op_jsr_32_ai           , MASK__Y, 0x4e90, { 16,  16,   4}},
op_jsr_32_al           , MASKALL, 0x4eb9, { 20,  20,   4}},
op_jsr_32_aw           , MASKALL, 0x4eb8, { 18,  18,   4}},
op_jsr_32_di           , MASK__Y, 0x4ea8, { 18,  18,   5}},
op_jsr_32_ix           , MASK__Y, 0x4eb0, { 22,  22,   7}},
op_jsr_32_pcdi         , MASKALL, 0x4eba, { 18,  18,   5}},
op_jsr_32_pcix         , MASKALL, 0x4ebb, { 22,  22,   7}},
op_lea_32_ai           , MASK_XY, 0x41d0, {  4,   4,   6}},
op_lea_32_al           , MASK_X_, 0x41f9, { 12,  12,   6}},
op_lea_32_aw           , MASK_X_, 0x41f8, {  8,   8,   6}},
op_lea_32_di           , MASK_XY, 0x41e8, {  8,   8,   7}},
op_lea_32_ix           , MASK_XY, 0x41f0, { 12,  12,   9}},
op_lea_32_pcdi         , MASK_X_, 0x41fa, {  8,   8,   7}},
op_lea_32_pcix         , MASK_X_, 0x41fb, { 12,  12,   9}},
op_link_16             , MASK__Y, 0x4e50, { 16,  16,   5}},
op_link_32             , MASK__Y, 0x4808, {  0,   0,   6}},
op_lsl_08_r            , MASK_XY, 0xe128, {  6,   6,   6}},
op_lsl_08_s            , MASK_XY, 0xe108, {  6,   6,   4}},
op_lsl_16_ai           , MASK__Y, 0xe3d0, { 12,  12,   9}},
op_lsl_16_al           , MASKALL, 0xe3f9, { 20,  20,   9}},
op_lsl_16_aw           , MASKALL, 0xe3f8, { 16,  16,   9}},
op_lsl_16_di           , MASK__Y, 0xe3e8, { 16,  16,  10}},
op_lsl_16_ix           , MASK__Y, 0xe3f0, { 18,  18,  12}},
op_lsl_16_pd           , MASK__Y, 0xe3e0, { 14,  14,  10}},
